tick	t	speed	gate	angle	dist	throttle	steering	source	events
0	0.0	0.0	1	+1.4	99.3	+1.00	+0.05	decide_controls (rule-based)	[]
1	0.5	5.8	1	-0.7	97.8	+1.00	-0.02	decide_controls (rule-based)	[]
2	1.0	11.2	1	+0.3	93.6	+1.00	+0.01	decide_controls (rule-based)	[]
3	1.5	16.2	1	-0.1	86.7	+1.00	-0.00	decide_controls (rule-based)	[]
4	2.0	20.8	1	+0.1	77.5	+1.00	+0.00	decide_controls (rule-based)	[]
5	2.5	25.1	1	-0.0	66.0	+0.18	-0.00	decide_controls (rule-based)	[]
6	3.0	24.3	1	-0.0	53.6	+0.33	-0.00	decide_controls (rule-based)	[]
7	3.5	24.5	1	-0.0	41.4	+0.30	-0.00	decide_controls (rule-based)	[]
8	4.0	24.5	1	-0.1	29.2	+0.31	-0.00	decide_controls (rule-based)	[]
9	4.5	24.5	1	-0.0	16.9	+0.31	-0.00	decide_controls (rule-based)	[]
10	5.0	24.5	1	-0.0	4.7	+0.31	-0.00	decide_controls (rule-based)	['waypoint_passed: 1']
11	5.5	24.5	2	-5.9	91.7	+0.31	-0.20	decide_controls (rule-based)	[]
12	6.0	24.5	2	-1.9	79.5	+0.31	-0.06	decide_controls (rule-based)	[]
13	6.5	24.5	2	-0.6	67.2	+0.31	-0.02	decide_controls (rule-based)	[]
14	7.0	24.5	2	-0.2	55.0	+0.31	-0.01	decide_controls (rule-based)	[]
15	7.5	24.5	2	-0.1	42.8	+0.31	-0.00	decide_controls (rule-based)	[]
16	8.0	24.5	2	-0.0	30.5	+0.31	-0.00	decide_controls (rule-based)	[]
17	8.5	24.5	2	-0.1	18.3	+0.31	-0.00	decide_controls (rule-based)	[]
18	9.0	24.5	2	-0.1	6.0	+0.31	-0.00	decide_controls (rule-based)	['waypoint_passed: 2']
19	9.5	24.5	3	-32.6	87.9	-1.00	-1.00	decide_controls (rule-based)	[]
20	10.0	10.6	3	-1.0	79.8	+1.00	-0.03	decide_controls (rule-based)	[]
21	10.5	15.6	3	+0.3	73.3	+1.00	+0.01	decide_controls (rule-based)	[]
22	11.0	20.3	3	+0.0	64.2	+1.00	+0.00	decide_controls (rule-based)	[]
23	11.5	24.6	3	+0.0	53.0	+0.27	+0.00	decide_controls (rule-based)	[]
24	12.0	24.4	3	+0.0	40.7	+0.31	+0.00	decide_controls (rule-based)	[]
25	12.5	24.5	3	+0.0	28.5	+0.30	+0.00	decide_controls (rule-based)	[]
